"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","LIFEEXP65","WOMEN","YR","A","2016",22.6,
"KOR","LIFEEXP65","WOMEN","YR","A","2017",22.7,
"KOR","LIFEEXP65","WOMEN","YR","A","2018",22.8,
"LUX","LIFEEXP65","MEN","YR","A","2015",18.9,
"LUX","LIFEEXP65","MEN","YR","A","2016",18.9,
"LUX","LIFEEXP65","MEN","YR","A","2017",18.6,
"LUX","LIFEEXP65","MEN","YR","A","2018",18.8,
"LUX","LIFEEXP65","WOMEN","YR","A","2015",21.8,
"LUX","LIFEEXP65","WOMEN","YR","A","2016",22.7,
"LUX","LIFEEXP65","WOMEN","YR","A","2017",21.7,
"LUX","LIFEEXP65","WOMEN","YR","A","2018",22.1,
"MEX","LIFEEXP65","MEN","YR","A","2015",16.8,
"MEX","LIFEEXP65","MEN","YR","A","2016",16.8,
"MEX","LIFEEXP65","MEN","YR","A","2017",16.8,
"MEX","LIFEEXP65","WOMEN","YR","A","2015",18.6,
"MEX","LIFEEXP65","WOMEN","YR","A","2016",18.7,
"MEX","LIFEEXP65","WOMEN","YR","A","2017",18.7,
"NLD","LIFEEXP65","MEN","YR","A","2015",18.4,
"NLD","LIFEEXP65","MEN","YR","A","2016",18.5,
"NLD","LIFEEXP65","MEN","YR","A","2017",18.7,
"NLD","LIFEEXP65","MEN","YR","A","2018",18.7,
"NLD","LIFEEXP65","WOMEN","YR","A","2015",21.1,
"NLD","LIFEEXP65","WOMEN","YR","A","2016",21.1,
"NLD","LIFEEXP65","WOMEN","YR","A","2017",21.2,
"NLD","LIFEEXP65","WOMEN","YR","A","2018",21.1,
"NZL","LIFEEXP65","MEN","YR","A","2015",19.3,
"NZL","LIFEEXP65","MEN","YR","A","2016",19.4,
"NZL","LIFEEXP65","MEN","YR","A","2017",19.6,
"NZL","LIFEEXP65","MEN","YR","A","2018",19.5,
"NZL","LIFEEXP65","WOMEN","YR","A","2015",21.5,
"NZL","LIFEEXP65","WOMEN","YR","A","2016",21.5,
"NZL","LIFEEXP65","WOMEN","YR","A","2017",21.7,
"NZL","LIFEEXP65","WOMEN","YR","A","2018",21.7,
"NOR","LIFEEXP65","MEN","YR","A","2015",18.9,
"NOR","LIFEEXP65","MEN","YR","A","2016",19.1,
"NOR","LIFEEXP65","MEN","YR","A","2017",19.3,
"NOR","LIFEEXP65","MEN","YR","A","2018",19.4,
"NOR","LIFEEXP65","WOMEN","YR","A","2015",21.6,
"NOR","LIFEEXP65","WOMEN","YR","A","2016",21.6,
"NOR","LIFEEXP65","WOMEN","YR","A","2017",21.6,
"NOR","LIFEEXP65","WOMEN","YR","A","2018",21.7,
"POL","LIFEEXP65","MEN","YR","A","2015",15.7,
"POL","LIFEEXP65","MEN","YR","A","2016",16,
"POL","LIFEEXP65","MEN","YR","A","2017",15.9,
"POL","LIFEEXP65","MEN","YR","A","2018",15.8,
"POL","LIFEEXP65","WOMEN","YR","A","2015",20.1,
"POL","LIFEEXP65","WOMEN","YR","A","2016",20.5,
"POL","LIFEEXP65","WOMEN","YR","A","2017",20.2,
"POL","LIFEEXP65","WOMEN","YR","A","2018",20.1,
"PRT","LIFEEXP65","MEN","YR","A","2015",18,
"PRT","LIFEEXP65","MEN","YR","A","2016",18,
"PRT","LIFEEXP65","MEN","YR","A","2017",18.3,
"PRT","LIFEEXP65","MEN","YR","A","2018",18.2,
"PRT","LIFEEXP65","WOMEN","YR","A","2015",21.7,
"PRT","LIFEEXP65","WOMEN","YR","A","2016",21.8,
"PRT","LIFEEXP65","WOMEN","YR","A","2017",22.1,
"PRT","LIFEEXP65","WOMEN","YR","A","2018",22,
"SVK","LIFEEXP65","MEN","YR","A","2015",15,
"SVK","LIFEEXP65","MEN","YR","A","2016",15.3,
"SVK","LIFEEXP65","MEN","YR","A","2017",15.3,
"SVK","LIFEEXP65","MEN","YR","A","2018",15.4,
"SVK","LIFEEXP65","WOMEN","YR","A","2015",18.8,
"SVK","LIFEEXP65","WOMEN","YR","A","2016",19.2,
"SVK","LIFEEXP65","WOMEN","YR","A","2017",19.1,
"SVK","LIFEEXP65","WOMEN","YR","A","2018",19.3,
"ESP","LIFEEXP65","MEN","YR","A","2015",19,
"ESP","LIFEEXP65","MEN","YR","A","2016",19.4,
"ESP","LIFEEXP65","MEN","YR","A","2017",19.3,
"ESP","LIFEEXP65","MEN","YR","A","2018",19.5,
"ESP","LIFEEXP65","WOMEN","YR","A","2015",23,
"ESP","LIFEEXP65","WOMEN","YR","A","2016",23.6,
"ESP","LIFEEXP65","WOMEN","YR","A","2017",23.4,
"ESP","LIFEEXP65","WOMEN","YR","A","2018",23.5,
"SWE","LIFEEXP65","MEN","YR","A","2015",18.9,
"SWE","LIFEEXP65","MEN","YR","A","2016",19.1,
"SWE","LIFEEXP65","MEN","YR","A","2017",19.2,
"SWE","LIFEEXP65","MEN","YR","A","2018",19.2,
"SWE","LIFEEXP65","WOMEN","YR","A","2015",21.5,
"SWE","LIFEEXP65","WOMEN","YR","A","2016",21.5,
"SWE","LIFEEXP65","WOMEN","YR","A","2017",21.5,
"SWE","LIFEEXP65","WOMEN","YR","A","2018",21.6,
"CHE","LIFEEXP65","MEN","YR","A","2015",19.4,
"CHE","LIFEEXP65","MEN","YR","A","2016",20,
"CHE","LIFEEXP65","MEN","YR","A","2017",20,
"CHE","LIFEEXP65","MEN","YR","A","2018",20.2,
"CHE","LIFEEXP65","WOMEN","YR","A","2015",22.4,
"CHE","LIFEEXP65","WOMEN","YR","A","2016",22.9,
"CHE","LIFEEXP65","WOMEN","YR","A","2017",22.8,
"CHE","LIFEEXP65","WOMEN","YR","A","2018",23,
"TUR","LIFEEXP65","MEN","YR","A","2015",16.1,
"TUR","LIFEEXP65","MEN","YR","A","2016",16.1,
"TUR","LIFEEXP65","MEN","YR","A","2017",16,
"TUR","LIFEEXP65","MEN","YR","A","2018",16.2,
"TUR","LIFEEXP65","WOMEN","YR","A","2015",19.4,
"TUR","LIFEEXP65","WOMEN","YR","A","2016",19.3,
"TUR","LIFEEXP65","WOMEN","YR","A","2017",19.2,
"TUR","LIFEEXP65","WOMEN","YR","A","2018",19.4,
"GBR","LIFEEXP65","MEN","YR","A","2015",18.6,
"GBR","LIFEEXP65","MEN","YR","A","2016",18.8,
"GBR","LIFEEXP65","MEN","YR","A","2017",18.8,
"GBR","LIFEEXP65","MEN","YR","A","2018",18.9,
"GBR","LIFEEXP65","WOMEN","YR","A","2015",20.8,
